Projekt-Nummer: 20250999
Projektname: Musterstraﬂe
Versuchs-Nummer: CPTU 1
Kundenname: -
Ort: Musterhausen
Datum: 29.03.2025
Konus-Nummer: xxxxxx.Sxxxxx
Gel‰ndekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        qt        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [∞]       [%]       [MPa]               [kPa]     [kPa]                                   [∞]       

0,00      0,00      0,000     0,000     0,4       0,00      0,002     4,00      UNDEF     UNDEF     0,0       4,0       0,0       UNDEF     
0,01      0,03      0,000     0,001     0,8       0,00      0,026     4,00      UNDEF     UNDEF     0,0       6,0       0,0       UNDEF     
0,02      0,03      0,000     0,001     1,0       0,07      0,026     1,71      UNDEF     UNDEF     0,0       6,0       0,0       UNDEF     
0,03      0,03      0,000     0,001     1,0       0,13      0,029     1,75      UNDEF     UNDEF     0,0       6,0       0,0       UNDEF     
0,04      0,03      0,000     0,001     0,9       0,25      0,029     1,89      UNDEF     UNDEF     6,0       6,0       6,0       35,540    
0,05      0,03      0,000     0,001     1,0       0,34      0,029     2,01      UNDEF     UNDEF     6,0       6,0       6,0       34,580    
0,06      0,03      0,000     0,001     0,9       0,32      0,029     2,07      UNDEF     UNDEF     6,0       6,0       6,0       33,730    
0,07      0,03      0,000     0,001     0,5       0,30      0,029     2,12      UNDEF     UNDEF     5,0       6,0       6,0       32,970    
0,08      0,03      0,000     0,001     1,5       0,28      0,029     2,17      UNDEF     UNDEF     5,0       5,0       5,0       32,290    
0,09      0,03      0,000     0,001     1,7       0,29      0,030     2,22      UNDEF     UNDEF     5,0       5,0       5,0       31,670    
0,10      0,03      0,000     0,001     0,6       0,29      0,030     2,27      UNDEF     UNDEF     5,0       5,0       5,0       31,080    
0,11      0,03      0,000     0,001     0,9       0,32      0,030     2,32      UNDEF     UNDEF     5,0       5,0       5,0       30,580    
0,12      0,03      0,001     0,001     1,1       2,46      0,030     2,78      1,084     1,355     4,0       5,0       5,0       30,210    
0,13      0,03      0,009     0,001     1,3       24,72     0,030     3,50      UNDEF     UNDEF     0,0       5,0       0,0       UNDEF     
0,14      0,03      0,012     0,001     0,9       23,75     0,031     3,60      UNDEF     UNDEF     0,0       5,0       0,0       UNDEF     
