Projekt-Nummer: 12345678-12345
Projektname: Musterstadt, Drucksondierkampagne XYZ
Versuchs-Nummer: CPTU1
Kundenname: -
Ort: 12345 Musterstadt
Datum: 07.05.2023
Konus-Nummer: S22ABCDEF.S221234
Geländekante: 0,00
Wasserspiegel: 0,00
Vorbohrwerte: 0,00
E Coordinate: 0,000
N Coordinate: 0,000

Tiefe     qc        fs        u2        I         Rf        ic        Su_min    Su_max    soilfr    soilbq    soilavg   IFA       
          [MPa]     [MPa]     [MPa]     [°]       [%]                 [kPa]     [kPa]                                   [°]       

0,00      0,60      0,000     0,000     1,0       0,00      4,00      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,01      0,60      0,000     0,000     1,4       0,00      4,00      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,02      0,67      0,000     0,000     1,5       0,01      0,64      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,03      0,75      0,000     0,000     1,4       0,02      0,46      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,04      0,89      0,000     0,000     1,9       0,03      0,35      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,05      1,04      0,001     0,000     1,7       0,06      0,36      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,06      1,09      0,002     0,000     2,4       0,11      0,56      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,07      1,36      0,003     0,001     2,2       0,21      0,71      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,08      1,63      0,007     0,001     2,4       0,37      0,90      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,09      1,86      0,014     0,001     2,8       0,66      1,13      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,10      2,20      0,021     0,001     2,8       0,87      1,23      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,11      2,53      0,044     0,001     2,9       1,53      1,48      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
0,12      2,87      0,068     0,001     2,7       1,91      1,61      UNDEF     UNDEF     0,0       0,0       0,0       UNDEF     
